City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,gisborne,-38.6533,178.0042,68.25,62,76,9.57,NZ,1670296729
296,gravdal,68.1214,13.5031,31.19,89,100,32.79,NO,1670296730
297,mamallapuram,12.6264,80.1722,78.85,71,47,11.45,IN,1670296730
298,charters towers,-20.1,146.2667,94.19,21,0,3.87,AU,1670296731
299,lakes entrance,-37.8811,147.981,61.2,58,25,10.6,AU,1670296585
300,okakarara,-20.5833,17.4333,64.74,18,25,7.61,NA,1670296732
301,chadan,51.2833,91.5833,-20.09,93,34,0.47,RU,1670296732
302,belmonte,-15.8631,-38.8828,73.24,87,96,5.93,BR,1670296684
303,ahipara,-35.1667,173.1667,63.86,88,100,7.31,NZ,1670296446
304,rio gallegos,-51.6226,-69.2181,44.65,49,20,11.5,AR,1670296733
305,quatre cocos,-20.2078,57.7625,77.11,77,48,15.55,MU,1670296734
306,bethel,41.3712,-73.414,38.62,81,0,0.0,US,1670296734
307,little current,45.9793,-81.9248,34.47,90,100,7.09,CA,1670296533
308,mildura,-34.2,142.15,74.07,32,92,6.53,AU,1670296735
309,kokstad,-30.5472,29.4241,45.73,92,1,3.24,ZA,1670296736
310,kaeo,-35.1,173.7833,64.18,87,100,6.73,NZ,1670296736
311,xuddur,4.1213,43.8894,70.25,89,13,9.48,SO,1670296643
312,abha,18.2164,42.5053,49.82,81,0,5.75,SA,1670296737
313,bengkulu,-3.8004,102.2655,81.61,71,100,2.89,ID,1670296737
314,plettenberg bay,-34.0527,23.3716,59.18,74,100,4.41,ZA,1670296738
315,russkaya polyana,49.417,31.9201,22.19,60,11,10.27,UA,1670296738
316,sokolo,14.7328,-6.1219,82.62,22,96,11.12,ML,1670296739
317,kapit,2.0167,112.9333,88.48,60,99,0.96,MY,1670296739
318,lake city,30.1897,-82.6393,63.86,100,100,0.0,US,1670296559
319,ziarat,30.3823,67.7282,37.09,48,0,5.88,PK,1670296740
320,mastung,29.7994,66.845,43.74,46,0,2.06,PK,1670296741
321,padang,-0.9492,100.3543,84.25,74,100,0.72,ID,1670296741
322,kavaratti,10.5669,72.642,82.27,67,75,4.92,IN,1670296745
323,nioro,13.35,-15.75,72.01,57,5,6.08,GM,1670296747
324,sao joao da barra,-21.6403,-41.0511,74.12,85,99,21.74,BR,1670296748
325,aleppo,36.25,37.5,51.01,67,12,5.48,SY,1670296749
326,nenjiang,49.1833,125.2167,11.59,79,100,9.06,CN,1670296750
327,alpine,32.835,-116.7664,51.73,78,75,0.0,US,1670296568
328,jacareacanga,-6.2222,-57.7528,73.45,98,83,2.8,BR,1670296751
329,oktyabrskoye,43.0645,44.7417,24.94,93,91,8.95,RU,1670296753
330,meulaboh,4.1363,96.1285,78.57,82,99,4.47,ID,1670296754
331,blejesti,44.3,25.4667,39.85,90,99,6.71,RO,1670296755
332,mathathane,-22.2687,28.7495,73.85,65,54,4.05,BW,1670296756
333,thunder bay,48.4001,-89.3168,6.78,61,100,9.22,CA,1670296697
334,sabang,5.8933,95.3214,80.28,76,99,7.58,ID,1670296757
335,anadyr,64.75,177.4833,28.9,86,40,20.13,RU,1670296758
336,chalchihuites,23.4833,-103.8833,59.72,49,86,3.83,MX,1670296759
337,te anau,-45.4167,167.7167,52.09,81,99,3.11,NZ,1670296760
338,onguday,50.75,86.15,-4.94,98,54,2.13,RU,1670296761
339,teacapan,22.55,-105.75,72.72,87,85,1.34,MX,1670296762
340,tahoua,14.8888,5.2692,73.08,18,87,10.67,NE,1670296701
341,broken hill,-31.95,141.4333,74.34,27,97,2.21,AU,1670296560
342,atasu,48.6814,71.6433,-14.73,97,60,4.54,KZ,1670296766
343,torata,-17.0769,-70.8433,57.16,65,100,1.59,PE,1670296767
344,san rafael,-34.6177,-68.3301,75.79,46,40,0.0,AR,1670296769
345,faya,18.3851,42.4509,50.11,59,0,3.02,SA,1670296770
346,balfour,-26.6633,28.5902,54.28,96,14,4.0,ZA,1670296771
347,mao,39.8885,4.2658,55.96,100,0,8.05,ES,1670296773
348,giehun,7.8833,-11.05,71.24,97,48,0.2,SL,1670296773
349,dunedin,-45.8742,170.5036,51.8,67,97,11.01,NZ,1670296774
350,eyl,7.9803,49.8164,75.18,72,86,15.35,SO,1670296775
351,jasper,37.2001,-94.3502,51.24,93,100,4.61,US,1670296776
352,san cristobal,7.7669,-72.225,66.38,98,42,3.44,VE,1670296776
353,labuan,5.2767,115.2417,86.36,74,20,5.75,MY,1670296777
354,belaya gora,68.5333,146.4167,-41.78,96,36,1.1,RU,1670296777
355,curanilahue,-37.4667,-73.35,52.84,93,1,3.47,CL,1670296778
356,gardner,42.5751,-71.9981,35.4,86,0,0.0,US,1670296778
357,lapua,62.9693,23.0088,32.0,86,97,9.98,FI,1670296779
